Species,Long,Lat ,MSB:Mamm:196608
C c merriami,-105.64876,32.701567,32692282
C c merriami,-105.64779,32.817653,14865961
C c merriami,-105.647604,32.817755,25710974
C c merriami,-105.647519,32.807602,13167822
C c merriami,-105.647389,32.894119,30085473
C c merriami,-105.64694,32.951796,33993932
C c merriami,-105.646934,32.934861,13759364
C c merriami,-105.646512,32.925352,20068402
C c merriami,-105.644094,32.947847,29767387
C c merriami,-105.643022,32.911245,17869358
C c merriami,-105.642693,32.822047,4039934
C c merriami,-105.641237,32.932205,34244350
C c merriami,-105.640885,32.824261,13759172
C c merriami,-105.64027,32.695649,33685380
C c merriami,-105.639861,32.859151,14418473
C c merriami,-105.639827,32.933388,33378757
C c merriami,-105.636931,32.991519,34066123
C c merriami,-105.636514,32.811542,14429193
C c merriami,-105.63618,32.881422,15262077
C c merriami,-105.634803,32.991763,29767638
C c merriami,-105.634275,32.998423,33409687
C c merriami,-105.632102,32.938694,30115842
C c merriami,-105.631584,32.83882,35399045
C c merriami,-105.63153,32.877522,33319194
C c merriami,-105.631297,32.833268,30025335
C c merriami,-105.630919,32.930846,25859340
C c merriami,-105.630859,32.930705,30077892
C c merriami,-105.630732,32.86133,32465390
C c merriami,-105.630224,32.993066,21860617
C c merriami,-105.629777,32.818582,19096676
C c merriami,-105.628072,32.819503,29689750
C c merriami,-105.627935,33.187637,28215849
C c merriami,-105.627663,32.887399,19207224
C c merriami,-105.627137,32.942671,30042096
C c merriami,-105.626877,32.822797,21103291
C c merriami,-105.626712,32.932675,21858109
C c merriami,-105.626424,32.84028,32475421
C c merriami,-105.624882,32.842156,32464430
C c merriami,-105.624313,32.982456,19146573
C c merriami,-105.62384,32.989284,21103126
C c merriami,-105.623494,32.973483,20068262
C c merriami,-105.623366,32.860181,15170582
C c merriami,-105.623233,32.868328,25510788
C c merriami,-105.623138,33.018158,14340139
C c merriami,-105.622344,32.975121,21102989
C c merriami,-105.622281,32.918046,33846387
C c merriami,-105.62212,32.844032,31831091
C c merriami,-105.621163,32.838104,14406079
C c merriami,-105.619556,32.807362,31801283
