Species,Long,Lat,ID
C. candadensis,-121.550392,46.761605,34696066
C. candadensis,-121.428279,46.762692,408243
C. candadensis,-121.020325,46.867062,27409018
C. candadensis,-121.726909,46.879966,3992646
C. candadensis,-121.605349,46.89727,5462937
C. candadensis,-122.845958,46.904491,6580823
C. candadensis,-121.607126,46.911267,31377187
C. candadensis,-121.472847,46.935305,7255695
C. candadensis,-121.323487,46.938118,30436151
C. candadensis,-121.126953,47.026592,27408976
C. candadensis,-121.091309,47.055154,6617820
C. candadensis,-121.594907,47.068325,23471800
C. candadensis,-121.600903,47.110775,23476843
C. candadensis,-121.600747,47.111053,23476831
C. candadensis,-121.600695,47.111145,23476832
C. candadensis,-121.601042,47.11128,23476850
C. candadensis,-122.195012,47.125612,20091660
C. candadensis,-122.002019,47.155762,29361977
C. candadensis,-121.012119,47.193556,28383384
C. candadensis,-121.9915,47.204268,5221205
C. candadensis,-120.811958,46.727489,6255348
C. candadensis,-120.811667,46.7275,8446345
C. candadensis,-120.811383,46.728279,5908955
C. candadensis,-120.203,47.049,UWBM:Mamm:82856
C. candadensis,-119.914897,47.419075,16268107
C. candadensis,-121.867,37.983,NMR999000003741
C. candadensis,-121.802346,38.025513,7127528
C. candadensis,-121.942017,38.039509,22734293
C. candadensis,-121.888836,38.044933,21430990
C. candadensis,-121.807163,38.047107,20784967
C. candadensis,-121.822763,38.054062,21547746
C. candadensis,-121.80581,38.054341,18615747
C. candadensis,-121.909523,38.069818,21105234
C. candadensis,-121.822042,38.076576,20929882
C. candadensis,-121.978883,38.105149,1248059
C. candadensis,-121.849027,38.129437,21105232
C. candadensis,-121.847446,38.140104,1271202
C. candadensis,-121.866774,38.143916,4256113
C. candadensis,-121.919939,38.149291,21547948
C. candadensis,-121.950143,38.150988,18368041
C. candadensis,-121.866313,38.163253,38620704
C. candadensis,-121.881301,38.164407,1247846
C. candadensis,-121.993061,38.174737,274714
C. candadensis,-121.851041,38.194014,1391110
C. candadensis,-121.856466,38.195486,21547950
C. candadensis,-122.816716,38.288281,4382537
C. candadensis,-122.826603,38.291632,20147247
C. candadensis,-122.804705,38.293493,32626737
C. candadensis,-122.821892,38.301168,9069305
C. candadensis,-122.83607,38.304727,37753382
C. candadensis,-122.809823,38.306181,32626869
C. candadensis,-122.823822,38.306739,22173700
C. candadensis,-122.824952,38.307594,16119796
C. candadensis,-122.827365,38.309323,39388641
C. candadensis,-122.840629,38.310504,32626875
C. candadensis,-122.81355,38.315872,37730124
C. candadensis,-122.82567,38.317705,17789611
C. candadensis,-121.79646,37.692025,22143004
C. candadensis,-117.884791,45.255748,37726129
C. candadensis,-117.88515,45.255798,37726130
C. candadensis,-117.885795,45.255908,37726131
C. candadensis,-117.9055,45.335792,40054443
C. candadensis,-117.989978,45.68783,3512959
C. candadensis,-118.006203,45.359525,38596127
C. candadensis,-118.015684,45.310382,15622758
C. candadensis,-119.729998,46.54367,29736217
C. candadensis,-118.367339,45.172926,3512900
C. candadensis,-118.440747,45.511308,37561593
C. candadensis,-118.551073,45.233231,36593752
C. candadensis,-118.886916,46.064001,20565869
C. candadensis,-118.887033,46.058942,37933674
C. candadensis,-118.997168,45.300502,38163499
C. candadensis,-119.012107,45.326028,38200995
C. candadensis,-119.133397,45.868342,39431265
C. candadensis,-119.148243,45.866946,34171225
C. candadensis,-121.664186,46.617635,14698062
C. candadensis,-121.669207,46.610919,6209346
C. candadensis,-121.6689,46.609795,29217612
C. candadensis,-121.671481,46.607575,6085717
C. candadensis,-121.670644,46.606501,4956665
C. candadensis,-121.671712,46.605432,7552241
C. candadensis,-121.671608,46.605289,7552651
C. candadensis,-121.67777,46.601743,35858267
C. candadensis,-121.414259,46.572011,29870028
C. candadensis,-121.460633,46.542195,28533736
C. candadensis,-121.880895,46.533887,5536491
C. candadensis,-122.261495,46.297935,31804139
C. candadensis,-122.229973,46.276665,31585646
C. candadensis,-122.198867,46.253233,14612281
C. candadensis,-122.054393,46.18224,26226155
C. candadensis,-122.305812,46.071552,16250135
C. candadensis,-122.305812,46.071552,16250133
C. candadensis,-121.319274,45.977967,15128325
C. candadensis,-121.843933,45.763997,4609115
C. candadensis,-121.587563,45.643904,20300146
C. candadensis,-121.624832,45.280685,9043216
C. candadensis,-117.940852,45.246433,20716601
C. candadensis,-117.952743,45.282562,22855402
C. candadensis,-118.008203,45.359875,38391617
C. candadensis,-118.154449,46.039791,20555654
C. candadensis,-118.2383,45.330219,38187465
C. candadensis,-121.68163,46.596756,3991825
C. candadensis,-121.587389,45.643982,20300132
C. candadensis,-117.884062,45.255715,37726133
C. candadensis,-117.573992,46.185445,28992394
C. candadensis,-117.352239,46.018539,26904471
C. candadensis,-117.294203,45.627517,4148302
C. candadensis,-117.258301,45.58999,25704348
C. candadensis,-116.96502,45.526322,29285361
C. candadensis,-121.656891,37.225867,28016666
C. candadensis,-121.636199,37.237273,22170884
C. candadensis,-121.631754,37.247202,40009595
C. candadensis,-121.645432,37.248395,20745272
C. candadensis,-121.625861,37.251055,10091704
C. candadensis,-121.660228,37.252833,40009531
C. candadensis,-121.635417,37.253002,22181299
